Site,Date,SampleID,Species,LMA,CNratio,Cmass,Nmass,Carea,Narea
Seward_Teller,20170729,BNL13304,SAPU15,92.85,26.05,505.3,19.4,46.92,1.8
Seward_Teller,20170729,BNL13305,SAPU15,92.93,29.92,505.7,16.9,46.99,1.57
Seward_Teller,20170729,BNL13306,SAPU15,93.27,26.94,503.8,18.7,46.99,1.74
Seward_Teller,20170729,BNL13307,SAPU15,111.69,26.73,513.3,19.2,57.33,2.14
Seward_Teller,20170729,BNL13308,SAPU15,103.05,23.71,509.7,21.5,52.52,2.22
Seward_Teller,20170729,BNL13309,SAPU15,102.6,30.81,520.7,16.9,53.42,1.73
Seward_Teller,20170729,BNL13310,SAPU15,102.65,27.66,511.7,18.5,52.52,1.9
Seward_Teller,20170729,BNL13311,SAPU15,106.62,25.81,508.4,19.7,54.21,2.1
Seward_Teller,20170729,BNL13312,SAPU15,93.28,24.03,509.4,21.2,47.52,1.98
Seward_Teller,20170730,BNL13200,CAAQ,63.04,32.92,457.6,13.9,28.85,0.88
Seward_Teller,20170730,BNL13148,CAAQ,71.9,28.38,451.3,15.9,32.45,1.14
Seward_Teller,20170730,BNL13146,CAAQ,67.09,33.05,469.3,14.2,31.49,0.95
Seward_Teller,20170730,BNL13153,CAAQ,67.83,34.81,456,13.1,30.93,0.89
Seward_Teller,20170730,BNL13194,CAAQ,54.12,27.05,468,17.3,25.33,0.94
Seward_Teller,20170730,BNL13343,ARLA2,40.96,28.33,439.1,15.5,17.99,0.63
Seward_Teller,20170730,BNL13082,CAAQ,75.53,25.17,465.6,18.5,35.17,1.4
Seward_Teller,20170730,BNL13088,CAAQ,74.46,30.04,462.6,15.4,34.45,1.15
Seward_Teller,20170730,BNL13086,CAAQ,60.52,24.3,456.8,18.8,27.65,1.14
Seward_Teller,20170730,BNL13188,ARLA2,56.79,26.91,441.4,16.4,25.07,0.93
Seward_Teller,20170730,BNL13198,SARI4,86.09,17.07,469.3,27.5,40.4,2.37
Seward_Teller,20170730,BNL13199,SAPU15,85.06,18.2,333.1,18.3,28.34,1.56
Seward_Teller,20170730,BNL13154,SAAL,94.58,21.46,463.6,21.6,43.85,2.04
Seward_Teller,20170730,BNL13085,SAPU15,93.15,21.12,508.9,24.1,47.4,2.24
Seward_Teller,20170730,BNL13183,SAPU15,108.77,20.26,496.3,24.5,53.98,2.66
Seward_Teller,20170730,BNL13187,BENA,105.26,29.81,485.9,16.3,51.15,1.72
Seward_Teller,20170730,BNL13185,VAUL,108.28,35.84,523.3,14.6,56.66,1.58
Seward_Teller,20170730,BNL13196,SAPU15,80.56,17.29,516.9,29.9,41.64,2.41
Seward_Teller,20170730,BNL13189,SAPU15,127.22,23.99,506.2,21.1,64.4,2.68
Seward_Teller,20170730,BNL13084,SARE2,115.28,26.21,466.5,17.8,53.78,2.05
Seward_Teller,20170730,BNL13079,BENA,169.83,20.56,483.2,23.5,82.06,3.99
Seward_Teller,20170730,BNL13193,PEFR5,33.82,18.62,415.2,22.3,14.04,0.75
Seward_Teller,20170730,BNL13078,RUCH,68.09,17.37,460.4,26.5,31.35,1.8
Seward_Teller,20170730,BNL13191,SAPU15,103.39,25.24,502.2,19.9,51.92,2.06
Seward_Teller,20170730,BNL13076,SAPU15,111.12,23.63,517.5,21.9,57.51,2.43
Seward_Teller,20170730,BNL13150,SAAL,98.06,23.21,478.1,20.6,46.88,2.02
Seward_Teller,20170730,BNL13087,EQAR,71.78,21.08,375.3,17.8,26.94,1.28
Seward_Teller,20170730,BNL13184,RUCH,76.46,21.57,476.7,22.1,36.45,1.69
Seward_Teller,20170730,BNL13190,SAPU15,129.07,21.53,510.3,23.7,65.86,3.06
Seward_Teller,20170730,BNL13077,EQAR,123.17,21.22,367.1,17.3,45.21,2.13
Seward_Teller,20170730,BNL13197,SAPU15,87.7,16.17,511,31.6,44.82,2.77
Seward_Teller,20170730,BNL13147,VAUL,215.04,34.71,527.6,15.2,113.46,3.27
Seward_Teller,20170730,BNL13075,SAGL,91.81,22.07,470,21.3,43.15,1.96
Seward_Teller,20170730,BNL13050,BENA,175.2,22.98,507.8,22.1,88.97,3.87
Seward_Teller,20170730,BNL13151,SAPU15,201.08,22.09,510.2,23.1,102.59,4.65
Seward_Teller,20170730,BNL13149,VAUL,331.9,29.47,515.8,17.5,171.19,5.81
Seward_Teller,20170730,BNL13056,RUCH,79.47,18.23,475.7,26.1,37.8,2.07
Seward_Teller,20170730,BNL13182,EQAR,81.28,21.34,375.5,17.6,30.52,1.43
Seward_Teller,20170730,BNL13192,BENA,202.74,35.88,495.2,13.8,100.4,2.8
Seward_Teller,20170730,BNL13145,BENA,201.22,23.52,538.5,22.9,108.36,4.61
Seward_Teller,20170730,BNL13186,BENA,191.87,29.98,488.6,16.3,93.75,3.13
Seward_Teller,20170730,BNL13152,SAPU15,118.33,22.12,504.4,22.8,59.68,2.7
Seward_Teller,20170801,BNL13467,SALAC2,90.7,20.23,465.3,23,42.2,2.09
Seward_Teller,20170801,BNL13173,SALAC2,92.89,21.2,483.4,22.8,44.9,2.12
Seward_Teller,20170801,BNL13111,SAPU15,108.05,24.23,501.5,20.7,54.19,2.24
Seward_Teller,20170801,BNL13104,SAPU15,104.31,21.52,516.4,24,53.86,2.5
Seward_Teller,20170801,BNL13109,SAPU15,92.81,27.89,510.4,18.3,47.37,1.7
Seward_Teller,20170801,BNL13110,SAPU15,103.7,32.64,502.6,15.4,52.12,1.6
Seward_Teller,20170801,BNL13470,SALAC2,88.02,24.01,458.6,19.1,40.37,1.68
Seward_Teller,20170801,BNL13466,SALAC2,93.7,25.11,482.1,19.2,45.17,1.8
Seward_Teller,20170801,BNL13155,SALAC2,92.99,20.28,462.4,22.8,43,2.12
Seward_Teller,20170801,BNL13465,SALAC2,101.06,20.65,466.6,22.6,47.16,2.28
Seward_Teller,20170801,BNL13105,SAPU15,102.29,22.93,504.4,22,51.6,2.25
Seward_Teller,20170801,BNL13116,SAPU15,106.17,26.54,493.6,18.6,52.41,1.97
Seward_Teller,20170801,BNL13124,SAPU15,115.15,25.6,494,19.3,56.88,2.22
Seward_Teller,20170801,BNL13125,SAPU15,124.46,23.13,513.5,22.2,63.91,2.76
Seward_Teller,20170801,BNL13091,SAPU15,197.48,23.83,507.5,21.3,100.22,4.21
Seward_Teller,20170801,BNL13032,SAPU15,116.6,22.49,510.6,22.7,59.54,2.65
Seward_Teller,20170801,BNL13099,SAGL,97.53,24.21,498.7,20.6,48.64,2.01
Seward_Teller,20170801,BNL13100,SAPU15,113.7,23.05,504.8,21.9,57.4,2.49
Seward_Teller,20170801,BNL13057,SAPU15,117.22,26.63,511.3,19.2,59.94,2.25
Seward_Teller,20170801,BNL13453,SAPU15,100.88,26.73,518.6,19.4,52.32,1.96
Seward_Teller,20170801,BNL13068,SAPU15,116.36,24.12,518.5,21.5,60.33,2.5
Seward_Teller,20170801,BNL13461,SAGL,100.53,20.86,515.2,24.7,51.79,2.48
Seward_Teller,20170801,BNL13463,SAPU15,119.17,29.49,504.3,17.1,60.1,2.04
Seward_Teller,20170801,BNL13459,SALAC2,82.75,19.82,450,22.7,37.24,1.88
Seward_Teller,20170801,BNL13458,SALAC2,88.46,21.28,476.6,22.4,42.16,1.98
Seward_Teller,20170801,BNL13138,SAPU15,84.66,21.02,502.3,23.9,42.52,2.02
Seward_Teller,20170801,BNL13476,SALAC2,91.39,16.35,462.7,28.3,42.29,2.59
Seward_Teller,20170801,BNL13137,SALAC2,94.79,15.68,461,29.4,43.7,2.79
Seward_Teller,20170801,BNL13473,SALAC2,87.11,17.55,459.8,26.2,40.05,2.28
Seward_Teller,20170801,BNL13464,SAPU15,94.51,23.22,506.1,21.8,47.83,2.06
Seward_Teller,20170801,BNL13455,SALAC2,100.5,16.27,478.2,29.4,48.06,2.95
Seward_Teller,20170801,BNL13058,SAPU15,81.01,16.8,500.5,29.8,40.54,2.41
Seward_Teller,20170801,BNL13029,SALAC2,84.4,21.65,467.7,21.6,39.48,1.82
Seward_Teller,20170801,BNL13481,SALAC2,52.66,15.19,461.8,30.4,24.32,1.6
Seward_Teller,20170801,BNL13480,SALAC2,76.9,21.59,462,21.4,35.53,1.65
Seward_Teller,20170801,BNL13126Q3,SAPU15,130.25,30.7,515.8,16.8,67.18,2.19
Seward_Teller,20170801,BNL13166Q1,SAPU15,-9999,22.08,452.6,20.5,-9999,-9999
Seward_Teller,20170801,BNL13166Q2,SAPU15,74.34,25.14,472.6,18.8,35.13,1.4
Seward_Teller,20170801,BNL13166Q3,SAPU15,124.85,19.77,460.6,23.3,57.51,2.91
Seward_Teller,20170801,BNL13166Q4,SAPU15,102.56,21.29,468.4,22,48.04,2.26
Seward_Teller,20170801,BNL13128Q1,SALAC2,85.43,20.84,450.2,21.6,38.46,1.85
Seward_Teller,20170801,BNL13128Q2,SALAC2,63.75,22.63,464,20.5,29.58,1.31
Seward_Teller,20170801,BNL13128Q3,SALAC2,78.52,23.11,459.9,19.9,36.11,1.56
Seward_Teller,20170801,BNL13163Q1,SALAC2,92.97,20.92,445.7,21.3,41.44,1.98
Seward_Teller,20170801,BNL13163Q2,SALAC2,107.48,19.72,465.3,23.6,50.01,2.54
Seward_Teller,20170801,BNL13163Q3,SALAC2,102.96,17,457.4,26.9,47.09,2.77
Seward_Teller,20170801,BNL13163Q4,SALAC2,-9999,21.68,455.3,21,-9999,-9999
Seward_Teller,20170801,BNL13157Q1,SALAC2,101.52,23.85,462.6,19.4,46.96,1.97
Seward_Teller,20170801,BNL13157Q2,SALAC2,89.12,20.53,439.3,21.4,39.15,1.91
Seward_Teller,20170801,BNL13157Q3,SALAC2,82.73,19.89,451.5,22.7,37.35,1.88
Seward_Teller,20170801,BNL13157Q4,SALAC2,61.32,24.97,456.9,18.3,28.02,1.12
Seward_Teller,20170801,BNL13127Q1,unknown,87.52,28.34,495.9,17.5,43.4,1.53
Seward_Teller,20170801,BNL13127Q4,unknown,89.78,23.26,507.1,21.8,45.53,1.96
Seward_Teller,20170801,BNL13158Q1,SAPU15,80.83,19.75,525.3,26.6,42.46,2.15
Seward_Teller,20170801,BNL13159Q2,SAPU15,84.69,19.43,491.6,25.3,41.63,2.14
Seward_Teller,20170801,BNL13159Q3,SAPU15,76.75,21.8,457.8,21,35.14,1.61
Seward_Teller,20170801,BNL13159Q4,SAPU15,72.01,26.3,497,18.9,35.79,1.36
Seward_Teller,20170801,BNL13161Q2,SAPU15,61.82,17.37,493.2,28.4,30.49,1.76
Seward_Teller,20170801,BNL13160Q2,SALAC2,83.26,22.6,440.7,19.5,36.69,1.62
Seward_Teller,20170801,BNL13160Q3,SALAC2,72.78,22.58,444.9,19.7,32.38,1.43
Seward_Teller,20170801,BNL13160Q4,SALAC2,82.13,22.21,457.5,20.6,37.57,1.69
Seward_Teller,20170801,BNL13130Q1,SALAC2,82.05,18.59,464.8,25,38.14,2.05
Seward_Teller,20170801,BNL13130Q4,SALAC2,102.16,19.71,457.2,23.2,46.71,2.37
Seward_Teller,20170801,BNL13162Q1,SALAC2,79.27,21.21,453.8,21.4,35.97,1.7
Seward_Teller,20170801,BNL13162Q2,SALAC2,98.18,20.6,453.3,22,44.51,2.16
Seward_Teller,20170801,BNL13162Q3,SALAC2,88.31,18.46,472.6,25.6,41.74,2.26
Seward_Teller,20170801,BNL13162Q4,SALAC2,106.12,22.32,468.7,21,49.74,2.23
Seward_Teller,20170801,BNL13143Q2,unknown,32.73,20.82,491.4,23.6,16.08,0.77
Seward_Teller,20170801,BNL13143Q4,unknown,86.05,18.42,510.1,27.7,43.9,2.38
Seward_Teller,20170801,BNL13140Q1,SAGL,93.77,19.91,501.7,25.2,47.04,2.36
Seward_Teller,20170801,BNL13140Q2,SAGL,99.68,23.26,483.9,20.8,48.24,2.07
Seward_Teller,20170801,BNL13140Q3,SAGL,91.85,23.79,478.1,20.1,43.91,1.85
Seward_Teller,20170801,BNL13021Q1,SAPU15,102.29,24.32,493.7,20.3,50.5,2.08
Seward_Teller,20170801,BNL13021Q3,SAPU15,96.07,23.89,499.3,20.9,47.97,2.01
Seward_Teller,20170801,BNL13021Q4,SAPU15,97.12,25.23,517.3,20.5,50.24,1.99
Seward_Teller,20170801,BNL13170Q1,SALAC2,98.72,21.42,469.2,21.9,46.32,2.16
Seward_Teller,20170801,BNL13170Q2,SALAC2,97.73,18.22,468.3,25.7,45.77,2.51
Seward_Teller,20170801,BNL13170Q3,SALAC2,105.45,17.12,457.1,26.7,48.2,2.82
Seward_Teller,20170801,BNL13170Q4,SALAC2,105.13,20.01,462.2,23.1,48.59,2.43
Seward_Teller,20170801,BNL13022Q3,SAPU15,63.05,27.58,493.6,17.9,31.12,1.13
Seward_Teller,20170801,BNL13022Q4,SAPU15,106.67,28.75,457.1,15.9,48.76,1.7
Seward_Teller,20170801,BNL13025Q1,SALAC2,106.41,20.01,450.3,22.5,47.92,2.39
Seward_Teller,20170801,BNL13025Q2,SALAC2,109.37,19.18,460.2,24,50.33,2.62
Seward_Teller,20170801,BNL13025Q3,SALAC2,88.24,22.99,457.6,19.9,40.38,1.76
Seward_Teller,20170801,BNL13025Q4,SALAC2,105.28,21.92,563.4,25.7,59.31,2.71
Seward_Teller,20170801,BNL13144Q2,SALAC2,103.65,18.25,468.9,25.7,48.6,2.66
Seward_Teller,20170801,BNL13144Q3,SALAC2,98.7,26.65,469.1,17.6,46.3,1.74
Seward_Teller,20170801,BNL13144Q4,SALAC2,88.34,20.83,460.3,22.1,40.66,1.95
Seward_Teller,20170801,BNL13024Q2,SALAC2,93.83,24.52,448.8,18.3,42.11,1.72
Seward_Teller,20170801,BNL13024Q3,SALAC2,72.73,23.86,441.5,18.5,32.11,1.35
Seward_Teller,20170801,BNL13167Q1,SALAC2,77.24,19.69,460.7,23.4,35.59,1.81
Seward_Teller,20170801,BNL13167Q2,SAAL,83.14,19.2,481.9,25.1,40.07,2.09
Seward_Teller,20170801,BNL13167Q3,SAAL,88.34,18.06,480.3,26.6,42.43,2.35
Seward_Teller,20170801,BNL13167Q4,SAAL,74.89,17.89,482.9,27,36.16,2.02
Seward_Teller,20170801,BNL13133Q1,SALAC2,51.23,15.79,480,30.4,24.59,1.56
Seward_Teller,20170801,BNL13133Q2,SALAC2,60.68,16.52,470.9,28.5,28.57,1.73
Seward_Teller,20170801,BNL13133Q3,SALAC2,47.8,16.65,457.9,27.5,21.89,1.31
Seward_Teller,20170801,BNL13133Q4,SALAC2,71.25,17.46,504.7,28.9,35.96,2.06
Seward_Teller,20170801,BNL13139Q1,SAPU15,95.92,23.27,498,21.4,47.77,2.05
Seward_Teller,20170801,BNL13139Q2,SAPU15,101.96,24.14,507,21,51.69,2.14
Seward_Teller,20170801,BNL13139Q3,SAPU15,103.17,22.67,514.6,22.7,53.09,2.34
Seward_Teller,20170801,BNL13139Q4,SAPU15,94.51,24.04,488.1,20.3,46.13,1.92
Seward_Teller,20170801,BNL13134Q4,SAPU15,-9999,18.93,484.7,25.6,-9999,-9999
