"Sample_ID","Sample_Date","USDA_Species_Code","Chl_a_L","Chl_b_L","Carot_tot_L","Chl_a_area_L","Chl_b_area_L","Chl_ab_area_L","Chl_a_b_ratio_L","Carot_tot_area_L","Chl_a_P","Chl_b_P","Chl_a_area_P","Chl_b_area_P","Chl_ab_area_P","Chl_a_b_ratio_P","Chl_a_mol_P"
"BNL1389",20130724,"ERAN6",6.07,2.07,NA,467,159,626,2.93,NA,6.02,1.95,463,150,613,3.1,6.74
"BNL1391",20130724,"ERAN6",4.3,1.49,NA,287,100,386,2.88,NA,4.27,1.4,285,94,379,3.04,4.78
"BNL1393",20130724,"ERAN6",4.87,1.72,NA,325,115,439,2.84,NA,4.84,1.61,323,108,430,3,5.42
"BNL1395",20130724,"ERAN6",4.65,1.74,NA,274,102,376,2.68,NA,4.62,1.63,272,96,368,2.84,5.17
"BNL1397",20130724,"ERAN6",5.6,1.98,NA,311,110,421,2.82,NA,5.56,1.86,309,103,412,2.99,6.22
"BNL1399",20130724,"ERAN6",5.7,1.94,NA,316,108,424,2.93,NA,5.66,1.83,314,102,416,3.09,6.33
"BNL1400",20130724,"ERAN6",4.73,2.05,NA,243,105,348,2.31,NA,4.71,1.91,241,98,340,2.46,5.27
"BNL1326",20130724,"LUAR9",5.11,1.61,NA,343,108,452,3.17,NA,5.07,1.52,341,102,443,3.34,5.67
"BNL1346",20130724,"LUAR9",6.3,2.03,NA,303,98,400,3.1,NA,6.26,1.92,300,92,392,3.27,7
"BNL1348",20130724,"LUAR9",6.21,1.97,NA,344,109,453,3.16,NA,6.16,1.85,341,103,444,3.32,6.89
"BNL1350",20130724,"LUAR9",7.42,2.64,NA,378,134,512,2.81,NA,7.37,2.48,375,126,501,2.97,8.24
"BNL1352",20130724,"LUAR9",4.98,1.65,NA,382,126,508,3.03,NA,4.95,1.55,379,119,498,3.19,5.53
"BNL1354",20130724,"LUAR9",6.05,1.98,NA,391,128,519,3.06,NA,6.01,1.86,388,120,509,3.22,6.72
"BNL1358",20130724,"LUAR9",5.84,1.91,NA,361,118,480,3.06,NA,5.8,1.8,359,111,470,3.22,6.49
"BNL1360",20130724,"LUAR9",3.54,1.08,NA,359,110,469,3.28,NA,3.52,1.02,357,104,460,3.44,3.93
"BNL1362",20130724,"LUAR9",8.52,3.4,NA,318,127,445,2.51,NA,8.47,3.18,316,119,435,2.66,9.47
"BNL1364",20130724,"LUAR9",8.4,2.99,NA,361,128,489,2.81,NA,8.35,2.81,358,121,479,2.97,9.34
"BNL1245",20130724,"PEFR5",6.95,2.91,NA,253,106,359,2.39,NA,6.91,2.71,252,99,351,2.55,7.73
"BNL1255",20130724,"PEFR5",6.95,2.55,NA,337,124,461,2.72,NA,6.9,2.39,335,116,451,2.88,7.72
"BNL1257",20130724,"PEFR5",6.76,2.1,NA,329,102,431,3.22,NA,6.71,1.98,326,96,423,3.39,7.51
"BNL1259",20130724,"PEFR5",6.91,2.35,NA,349,119,468,2.94,NA,6.86,2.21,347,112,458,3.1,7.68
"BNL1261",20130724,"PEFR5",7.85,2.86,NA,396,144,541,2.74,NA,7.8,2.68,394,135,529,2.91,8.72
"BNL1323",20130724,"PEFR5",7.29,2.55,NA,368,129,497,2.86,NA,7.24,2.39,366,121,487,3.02,8.1
"BNL1325",20130724,"PEFR5",5.08,2.12,NA,298,124,423,2.4,NA,5.05,1.98,297,116,413,2.55,5.65
"BNL1327",20130724,"PEFR5",5.84,2.07,NA,295,105,400,2.82,NA,5.8,1.95,293,98,391,2.98,6.49
"BNL1329",20130724,"PEFR5",7.06,2.21,NA,343,108,451,3.19,NA,7.01,2.09,341,102,442,3.36,7.84
"BNL1331",20130724,"PEFR5",7.19,2.64,NA,422,155,577,2.72,NA,7.14,2.48,419,145,564,2.88,7.99
"BNL1248",20130724,"SAPU6",4.02,1.42,NA,242,85,327,2.84,NA,3.99,1.33,240,80,321,3,4.47
"BNL1256",20130724,"SAPU6",5.26,2.06,NA,311,121,432,2.56,NA,5.23,1.93,309,114,422,2.72,5.85
"BNL1258",20130724,"SAPU6",6.24,2.4,NA,296,113,409,2.61,NA,6.2,2.24,294,106,400,2.77,6.94
"BNL1260",20130724,"SAPU6",6.56,2.72,NA,299,124,423,2.41,NA,6.52,2.54,297,116,413,2.56,7.29
"BNL1262",20130724,"SAPU6",5.55,2.33,NA,326,137,463,2.38,NA,5.52,2.18,324,128,452,2.54,6.18
"BNL1264",20130724,"SAPU6",4.4,1.67,NA,324,123,447,2.64,NA,4.37,1.56,322,115,437,2.8,4.89
"BNL1266",20130724,"SAPU6",3.42,1.4,NA,215,88,303,2.44,NA,3.4,1.31,214,82,296,2.6,3.8
"BNL1268",20130724,"SAPU6",4.05,1.78,NA,276,121,397,2.28,NA,4.03,1.66,275,113,388,2.43,4.51
"BNL1270",20130724,"SAPU6",2.59,0.93,NA,198,71,269,2.8,NA,2.57,0.87,196,66,263,2.96,2.88
"BNL1272",20130724,"SAPU6",6.07,2.14,NA,346,122,467,2.84,NA,6.03,2.01,343,114,458,3,6.75
"BNL1236",20130724,"SAPU15",6.7,2.16,NA,345,111,457,3.1,NA,6.65,2.04,343,105,448,3.26,7.44
"BNL1238",20130724,"SAPU15",3.7,1.25,NA,301,101,402,2.97,NA,3.68,1.17,298,95,394,3.13,4.11
"BNL1240",20130724,"SAPU15",7.17,2.32,NA,324,105,428,3.09,NA,7.12,2.19,321,99,420,3.26,7.97
"BNL1242",20130724,"SAPU15",4.53,1.42,NA,244,76,320,3.19,NA,4.49,1.34,242,72,314,3.35,5.02
"BNL1244",20130724,"SAPU15",5.61,1.72,NA,274,84,357,3.26,NA,5.56,1.62,271,79,351,3.43,6.22
"BNL1246",20130724,"SAPU15",6.09,1.89,NA,300,93,393,3.21,NA,6.04,1.79,297,88,386,3.38,6.76
"BNL1247",20130724,"SAPU15",6.53,1.98,NA,296,90,386,3.3,NA,6.48,1.87,294,85,378,3.47,7.25
"BNL1249",20130724,"SAPU15",7.41,2.51,NA,362,123,485,2.95,NA,7.36,2.36,359,115,475,3.11,8.23
"BNL1251",20130724,"SAPU15",5.19,1.64,NA,340,107,447,3.16,NA,5.15,1.55,337,101,438,3.33,5.76
"BNL1253",20130724,"SAPU15",4.48,1.36,NA,304,92,396,3.29,NA,4.44,1.29,302,87,389,3.46,4.97
"BNL1250",20130724,"SARO2",6.89,2.52,NA,438,160,598,2.73,NA,6.84,2.37,435,150,585,2.89,7.66
"BNL1252",20130724,"SARO2",5.53,2.1,NA,355,135,490,2.64,NA,5.49,1.96,353,126,479,2.8,6.15
"BNL1254",20130724,"SARO2",5.1,1.66,NA,294,96,390,3.07,NA,5.07,1.57,292,90,382,3.23,5.67
"BNL1386",20130724,"SARO2",5.17,1.6,NA,375,116,491,3.23,NA,5.13,1.51,372,110,482,3.39,5.74
"BNL1388",20130724,"SARO2",4.6,1.43,NA,350,109,459,3.22,NA,4.56,1.35,347,103,450,3.38,5.11
"BNL1390",20130724,"SARO2",5.17,1.76,NA,294,100,394,2.93,NA,5.13,1.66,292,94,386,3.1,5.74
"BNL1392",20130724,"SARO2",4.41,1.47,NA,361,121,481,2.99,NA,4.38,1.39,358,113,472,3.16,4.9
"BNL1394",20130724,"SARO2",3.14,1.17,NA,342,127,469,2.7,NA,3.12,1.09,340,119,459,2.86,3.49
"BNL1396",20130724,"SARO2",6.49,1.99,NA,361,111,472,3.26,NA,6.44,1.88,358,105,463,3.43,7.21
"BNL1398",20130724,"SARO2",3.86,1.36,NA,292,103,395,2.84,NA,3.83,1.28,290,97,387,3,4.29
"BNL1366",20130724,"VAVI",4.64,1.77,NA,256,98,354,2.62,NA,4.62,1.66,254,92,346,2.78,5.16
"BNL1368",20130724,"VAVI",3.76,1.27,NA,283,96,379,2.95,NA,3.73,1.2,281,90,371,3.12,4.17
"BNL1370",20130724,"VAVI",2.96,0.94,NA,215,69,283,3.14,NA,2.94,0.89,213,65,278,3.3,3.29
"BNL1372",20130724,"VAVI",3.72,1.36,NA,220,80,300,2.75,NA,3.7,1.27,218,75,293,2.91,4.14
"BNL1374",20130724,"VAVI",3.06,1.08,NA,217,77,294,2.83,NA,3.04,1.02,215,72,287,2.99,3.4
"BNL1376",20130724,"VAVI",4.45,1.51,NA,219,75,294,2.94,NA,4.42,1.42,218,70,288,3.1,4.94
"BNL1378",20130724,"VAVI",4.17,1.49,NA,208,74,282,2.79,NA,4.14,1.4,206,70,276,2.96,4.63
"BNL1380",20130724,"VAVI",3.13,1.07,NA,243,83,326,2.91,NA,3.11,1.01,241,78,320,3.07,3.48
"BNL1382",20130724,"VAVI",3.83,1.34,NA,237,83,319,2.87,NA,3.8,1.26,235,78,313,3.03,4.25
"BNL1384",20130724,"VAVI",2.91,0.97,NA,209,70,279,2.99,NA,2.88,0.91,207,66,273,3.15,3.23
"BNL1725",20150716,"SAPU6",4.6,3.36,0.913,247,181,428,1.37,49,4.59,3.09,247,166,413,1.48,5.14
"BNL1726",20150716,"SAPU6",3.18,2.57,0.607,249,201,449,1.24,47,3.18,2.36,249,184,433,1.35,3.56
"BNL1727",20150716,"SAPU6",3.72,2.72,0.708,254,186,440,1.37,48,3.72,2.5,254,171,425,1.49,4.16
"BNL1728",20150716,"SAPU6",4.31,3.03,0.817,294,207,501,1.42,56,4.3,2.8,294,191,485,1.54,4.81
"BNL1729",20150716,"SAPU6",3.8,2.52,0.753,279,185,463,1.51,55,3.79,2.32,278,170,448,1.63,4.24
"BNL1730",20150716,"SAPU6",4.43,2.95,0.93,308,205,512,1.5,65,4.42,2.72,307,189,496,1.63,4.95
"BNL1723",20150716,"ERAN6",4.87,2.39,1.716,240,118,357,2.04,84,4.85,2.22,238,109,348,2.18,5.42
"BNL1724",20150716,"ERAN6",4.81,2.52,1.499,310,163,473,1.91,97,4.79,2.34,309,151,460,2.05,5.36
"BNL1733",20150716,"ERAN6",4.27,2.04,1.304,248,118,366,2.1,76,4.25,1.89,246,110,356,2.24,4.75
"BNL1734",20150716,"ERAN6",7.61,5,1.667,278,183,461,1.52,61,7.59,4.62,278,169,446,1.65,8.5
"BNL1735",20150716,"ERAN6",4.72,2.4,1.457,279,142,421,1.96,86,4.69,2.23,278,132,410,2.1,5.25
"BNL1736",20150716,"ERAN6",5.17,2.63,1.374,238,121,359,1.97,63,5.15,2.44,237,112,349,2.11,5.76
"BNL1703",20150716,"CAAQ",8.81,3.37,1.995,364,139,503,2.61,82,8.75,3.16,362,130,492,2.77,9.79
"BNL1704",20150716,"CAAQ",6.48,4.29,1.417,293,194,487,1.51,64,6.47,3.96,292,179,471,1.63,7.23
"BNL1705",20150716,"CAAQ",6.87,4.63,1.33,289,195,483,1.48,56,6.85,4.27,288,179,468,1.61,7.67
"BNL1706",20150716,"CAAQ",6.63,4.49,1.308,282,191,473,1.48,56,6.61,4.14,282,176,458,1.6,7.4
"BNL1707",20150716,"CAAQ",4.68,2.88,0.907,256,158,414,1.63,50,4.66,2.66,256,146,401,1.76,5.22
"BNL1708",20150716,"CAAQ",4.64,2.78,1.156,212,127,339,1.67,53,4.62,2.57,211,117,329,1.8,5.17
"BNL1731",20150716,"SAPU15",4.65,2.46,1.297,266,141,408,1.89,74,4.63,2.29,265,131,396,2.03,5.18
"BNL1732",20150716,"SAPU15",4.96,2.79,1.265,264,149,412,1.78,67,4.95,2.59,263,137,400,1.91,5.53
"BNL1737",20150716,"SAPU15",5.98,3.74,1.366,319,199,519,1.6,73,5.97,3.45,318,184,502,1.73,6.67
"BNL1738",20150716,"SAPU15",6.36,3.55,1.445,339,189,528,1.79,77,6.34,3.28,338,175,512,1.93,7.09
"BNL1739",20150716,"SAPU15",4.53,2.5,1.25,223,123,346,1.81,62,4.51,2.32,222,114,336,1.95,5.04
"BNL1740",20150716,"SAPU15",3.11,1.53,1.005,249,123,372,2.03,81,3.09,1.42,248,114,362,2.17,3.46
"BNL1711",20150716,"ARFU2",4.98,2.73,1.28,195,107,302,1.83,50,4.96,2.53,195,99,294,1.97,5.55
"BNL1712",20150716,"ARFU2",5.27,2.64,1.534,181,91,272,1.99,53,5.24,2.45,180,84,265,2.14,5.87
"BNL1713",20150716,"ARFU2",3.85,2.06,1.154,169,91,260,1.86,51,3.83,1.91,168,84,253,2,4.29
"BNL1714",20150716,"ARFU2",4.88,2.64,1.289,205,111,317,1.85,54,4.86,2.45,205,103,308,1.99,5.44
"BNL1715",20150716,"ARFU2",5.66,3.21,1.12,252,143,396,1.76,50,5.64,2.97,252,133,384,1.9,6.31
"BNL1716",20150716,"ARFU2",5.46,2.88,1.066,260,137,397,1.89,51,5.43,2.67,259,127,386,2.03,6.08
"BNL1717",20150716,"PEFR5",4.55,2.17,1.267,233,111,344,2.1,65,4.53,2.02,232,103,335,2.25,5.07
"BNL1718",20150716,"PEFR5",5.78,2.72,1.68,296,139,435,2.13,86,5.75,2.53,295,130,424,2.27,6.43
"BNL1719",20150716,"PEFR5",6.17,3.23,1.672,316,166,482,1.91,86,6.14,3,315,154,468,2.05,6.87
"BNL1720",20150716,"PEFR5",6,3.1,1.699,308,159,467,1.93,87,5.98,2.88,306,148,454,2.08,6.69
"BNL1721",20150716,"PEFR5",5.37,2.91,1.494,275,149,424,1.85,77,5.35,2.69,274,138,412,1.99,5.99
"BNL1722",20150716,"PEFR5",6.01,3.12,1.916,308,160,468,1.92,98,5.98,2.9,307,148,455,2.07,6.69
