"Location","Sample_ID","Sample_Date","USDA_Species_Code","Temp_Response_flagged_with_1","Replicate","Tair","Tleaf","VpdL","Vcmax_Tleaf","Jmax_Tleaf","Rd_Tleaf","Vcmax25_Rog","Jmax25_Rog","Vcmax25_Bern","Jmax25_Bern"
"Utqiagvik","BNL1686",20150714,"ARFU2",NA,1,8.38,10.22,0.347,36,131,3.24,112.748917199386,280.637861827177,142.320141620583,329.924776850007
"Utqiagvik","BNL1687",20150714,"ARFU2",NA,1,8.57,10.07,0.372,34,121,3.48,107.791856949653,261.333662806233,136.401973862857,307.761835969596
"Utqiagvik","BNL1743",20150717,"ARFU2",NA,1,6.06,7.54,0.325,26,96,2.26,101.456257323015,238.163098830436,133.941642068533,288.853250633719
"Utqiagvik","BNL1744",20150717,"ARFU2",NA,1,5.91,7.27,0.21,22,91,3.2,87.7910426750027,229.156699941485,116.431490243108,278.813117329471
"Utqiagvik","BNL1745",20150717,"ARFU2",NA,1,6.06,7.43,0.265,26,92,2.7,102.385253174091,229.632201396336,135.419687931031,278.866666129245
"Utqiagvik","BNL1746",20150717,"ARFU2",NA,1,6.1,6.85,0.2,25,NA,3.42,103.306576884401,NA,137.98796743772,NA
"Utqiagvik","BNL1747",20150717,"ARFU2",NA,1,6.34,8.14,0.329,28,105,3.17,103.974254421501,252.011009234579,135.884062779644,303.507808201795
"Utqiagvik","BNL1748",20150717,"ARFU2",NA,1,6.38,7.81,0.219,24,93,3.23,91.5826866567878,227.305911229992,120.356764978075,274.813655519881
"Utqiagvik","BNL1749",20150717,"ARFU2",NA,1,6.26,7.65,0.23,21,74,2.6,81.2024839560414,182.471611004852,107.003777617765,221.023017676299
"Utqiagvik","BNL1182",20130721,"ARLA2",NA,1,18.81,20.23,0.638,52,148,3.14,74.2263559299108,187.673385277128,79.8160171837238,197.381738888316
"Utqiagvik","BNL1184",20130721,"ARLA2",NA,1,18.88,20.46,0.779,55,156,2.93,77.1524860947715,195.530907784707,82.6680934185823,205.138505195145
"Utqiagvik","BNL1186",20130721,"ARLA2",NA,1,18.79,21.03,0.834,60,160,2.08,80.6185712849021,194.862933510409,85.6263184731107,203.193713766677
"Utqiagvik","BNL1188",20130721,"ARLA2",NA,1,18.62,20.74,0.977,56,166,3.76,76.9092483656223,205.145295147257,82.0522085230419,214.580340099884
"Utqiagvik","BNL1192",20130721,"ARLA2",NA,1,18.46,19.76,0.782,62,184,1.83,91.7165242183652,238.947966374186,99.3440817574966,252.583231720227
"Utqiagvik","BNL1194",20130721,"ARLA2",NA,1,18.46,19.86,0.817,74,211,2.25,108.638896742812,272.624087572467,117.49138863175,287.870649360225
"Utqiagvik","BNL1195",20130721,"ARLA2",NA,1,18.76,20.47,0.501,61,172,2.42,85.5043707077987,215.476480157599,91.602903538003,226.039870490897
"Utqiagvik","BNL1196",20130721,"ARLA2",NA,1,18.53,18.81,0.736,49,128,3.07,77.9356895903142,174.464216290082,85.675011215117,186.324373159007
"Utqiagvik","BNL1197",20130721,"ARLA2",NA,1,18.77,20.85,0.664,70,182,2.09,95.3411498247954,223.674749534411,101.544395305629,233.686678772614
"Utqiagvik","BNL1201",20130721,"ARLA2",NA,1,18.59,20.6,0.872,61,166,2.76,84.667459987627,206.599264558966,90.5244586607879,216.425549901164
"Utqiagvik","BNL1203",20130721,"ARLA2",NA,1,18.45,19.82,0.936,56,154,1.95,82.4636003197311,199.38101770694,89.2385316467597,210.622196862954
"Utqiagvik","BNL1213",20130721,"ARLA2",NA,1,18.48,19.63,0.857,64,191,2.31,95.6163580725584,249.681292130963,103.777483734519,264.299338971859
"Utqiagvik","BNL1215",20130721,"ARLA2",NA,1,18.58,17.9,0.415,50,163,3.42,85.2828658206984,232.776336195991,95.0980938536995,251.075130694928
"Utqiagvik","BNL63",20120712,"CAAQ",NA,1,18.3,19.89,0.771,63,179,4.98,92.2792241186751,230.926604740774,99.7522264021611,243.762441216672
"Utqiagvik","BNL65",20120712,"CAAQ",NA,1,18.77,21.41,0.69,55,204,1.62,71.8154398837573,243.750331223036,75.832316412835,253.14233794442
"Utqiagvik","BNL89",20120716,"CAAQ",NA,1,6.86,9.38,0.519,27,92,1.09,90.5545281631901,206.303806790138,115.912677407683,244.900866076526
"Utqiagvik","BNL91",20120716,"CAAQ",NA,1,6.93,8.94,0.474,24,85,1.13,83.4458234868199,195.245133233154,107.601326685428,232.959733934168
"Utqiagvik","BNL92",20120716,"CAAQ",NA,1,7.12,9.64,0.451,20,76,0.49,65.667935380927,168.026615619058,83.6936414326985,198.863016733505
"Utqiagvik","BNL93",20120716,"CAAQ",NA,1,7.22,9.45,0.482,27,89,1.4,90.0379039061663,198.815944781561,115.116930017117,235.820813236672
"Utqiagvik","BNL94",20120716,"CAAQ",NA,1,7.2,9.72,0.451,27,88,1.1,88.075006272043,193.711592959339,112.102037753928,229.049761386888
"Utqiagvik","BNL95",20120716,"CAAQ",NA,1,7.51,10,0.497,25,91,2.12,79.7114983776977,197.288755974661,100.985820681691,232.526449544264
"Utqiagvik","BNL96",20120716,"CAAQ",NA,1,7.48,10.39,0.41,30,106,-1.43,92.6689972885327,224.998177443544,116.644703777327,263.996270019627
"Utqiagvik","BNL97",20120716,"CAAQ",NA,1,7.53,9.91,0.412,21,83,2.1,67.4501346331694,180.826840020821,85.5798549720733,213.345736207819
"Utqiagvik","BNL60",20120811,"CAAQ",NA,1,15.08,18.67,0.965,36,113,1.29,57.87619092462,155.125338831443,63.7628714527711,165.922804972329
"Utqiagvik","BNL1228",20130724,"CAAQ",NA,1,7.92,7.24,0.281,22,88,4.42,88.0099124914755,221.970618099014,116.781072476466,270.165191462829
"Utqiagvik","BNL1229",20130724,"CAAQ",NA,1,7.73,7.99,0.383,27,105,4.76,101.509655912658,254.101376885603,132.998524870594,306.562662840054
"Utqiagvik","BNL1231",20130724,"CAAQ",NA,1,7.81,8,0.403,26,104,4.44,97.66936716986,251.54273143606,127.945403570354,303.44025605548
"Utqiagvik","BNL1232",20130724,"CAAQ",NA,1,8,9.05,0.395,26,91,4.77,89.588114827396,207.773024604171,115.309322911388,247.590950294168
"Utqiagvik","BNL1233",20130724,"CAAQ",NA,1,7.71,6.68,0.226,18,76,3.25,75.4414058319346,197.754171702501,101.059602605517,242.284940189556
"Utqiagvik","BNL1234",20130724,"CAAQ",NA,1,8,7.53,0.274,25,98,5.23,97.6349346561902,243.259262717751,128.918550899259,295.068709575395
"Utqiagvik","BNL1235",20130724,"CAAQ",NA,1,7.78,7.87,0.359,27,113,5.75,102.520834846296,275.276364491783,134.595287189177,332.57627159831
"Utqiagvik","BNL1239",20130724,"CAAQ",NA,1,7.86,8.03,0.36,26,109,4.9,97.4277851726246,263.200781841826,127.564465755922,317.392139747566
"Utqiagvik","BNL1241",20130724,"CAAQ",NA,1,7.94,8.3,0.29,34,125,5.89,124.600223447578,297.3841177267,162.402586192723,357.483780116836
"Utqiagvik","BNL1243",20130724,"CAAQ",NA,1,7.8,8.04,0.316,29,109,4.73,108.579794686472,263.055845557637,142.1421132541,317.180256455792
"Utqiagvik","BNL1578",20150711,"CAAQ",NA,1,9.17,10.86,0.495,23,90,2.97,68.3910665401189,186.241597043598,85.4191300696366,217.345728428175
"Utqiagvik","BNL1579",20150711,"CAAQ",NA,1,7.34,9.76,0.343,31,106,3.69,100.793839669065,232.827048707238,128.20524645705,275.173680977617
"Utqiagvik","BNL1580",20150711,"CAAQ",NA,1,7.18,9.58,0.365,32,129,5.71,105.584515979496,286.136697880411,134.701756253392,338.883900925895
"Utqiagvik","BNL1581",20150711,"CAAQ",NA,1,7.43,8.16,0.207,35,128,4.81,129.753621042301,306.87544501193,169.518089355041,369.497045934535
"Utqiagvik","BNL1582",20150711,"CAAQ",NA,1,8.55,10.45,0.352,24,NA,3.27,73.7750810946164,NA,92.7702674819026,NA
"Utqiagvik","BNL1586",20150711,"CAAQ",NA,1,8.2,8.67,0.273,21,NA,4,74.6514741439815,NA,96.6974961231797,NA
"Utqiagvik","BNL1587",20150711,"CAAQ",NA,1,8.15,8.31,0.355,18,NA,3.64,65.9105040592954,NA,85.8926021498522,NA
"Utqiagvik","BNL1588",20150711,"CAAQ",NA,1,7.82,9.03,0.343,22,92,4,75.9296784394415,210.286131299986,97.7621649658226,250.643888792316
"Utqiagvik","BNL1589",20150711,"CAAQ",NA,1,7.8,7.72,0.384,23,98,3.6,88.4224108169964,240.719326592243,116.380157367278,291.337673426864
"Utqiagvik","BNL1591",20150711,"CAAQ",NA,1,7.97,7.44,0.354,19,90,3.77,74.7579981002996,224.515965353239,98.8618236139564,272.621450289114
"Utqiagvik","BNL1595",20150711,"CAAQ",NA,1,7.15,6.73,0.338,22,NA,4.76,91.8228046697147,NA,122.899246080059,NA
"Utqiagvik","BNL1596",20150711,"CAAQ",NA,1,7.64,8.57,0.504,24,NA,3.87,86.0201316084534,NA,111.610547587437,NA
"Utqiagvik","BNL1678",20150714,"CAAQ",NA,1,8.66,10.86,0.381,33,134,4.79,98.1263128619098,277.293044487134,122.557882273826,323.603640104171
"Utqiagvik","BNL1679",20150714,"CAAQ",NA,1,8.62,10.05,0.361,32,113,2.5,101.616381667007,244.320578106765,128.630100697394,287.792594653746
"Utqiagvik","BNL1682",20150714,"CAAQ",NA,1,8.27,9.69,0.306,21,NA,3.96,68.6706160344162,NA,87.4477386785574,NA
"Utqiagvik","BNL161",20120720,"DUFI",NA,1,11.97,12.45,0.695,28,100,2.47,73.2610422117633,190.002354227762,89.1444593981632,217.75075060478
"Utqiagvik","BNL163",20120720,"DUFI",NA,1,6.32,6.11,0.373,17,73,3.77,74.7238229786135,196.07888148523,101.075182088325,241.858554974284
"Utqiagvik","BNL164",20120720,"DUFI",NA,1,6.46,7.1,0.274,22,76,3.27,89.0391694196312,193.195125435228,118.427390499767,235.529715866203
"Utqiagvik","BNL165",20120720,"DUFI",NA,1,6.67,6.07,0.303,17,61,4.69,74.9743970238841,164.213192379353,101.483410102405,202.649124037435
"Utqiagvik","BNL167",20120720,"DUFI",NA,1,7.59,8.23,0.441,13,NA,2.6,47.9168656468401,NA,62.527867284185,NA
"Utqiagvik","BNL168",20120720,"DUFI",NA,1,7.5,8.47,0.367,23,NA,3.29,83.1168354376914,NA,108.024670142161,NA
"Utqiagvik","BNL169",20120720,"DUFI",NA,1,7.33,7.16,0.327,17,65,3.08,68.4609067441645,164.683973372553,90.9645281019902,200.629175904062
"Utqiagvik","BNL212",20120721,"DUFI",NA,1,7.33,6.93,0.408,18,NA,3.8,73.8872086739757,NA,98.5581740332694,NA
"Utqiagvik","BNL646",20120812,"DUFI",NA,1,15.34,15.35,0.548,29,117,3.32,60.3060172829728,190.711037033213,70.0213781137284,211.56269617907
"Utqiagvik","BNL647",20120812,"DUFI",NA,1,15.13,16.37,0.79,30,112,2.99,57.606782179522,173.105583132481,65.8085788245537,189.875616366826
"Utqiagvik","BNL648",20120812,"DUFI",NA,1,15.07,14.66,0.648,31,118,3.21,68.0575468800799,199.429401938963,79.9008337442422,222.941209324389
"Utqiagvik","BNL133",20120717,"ERAN6",NA,1,6.43,8.87,0.406,18,67,-0.71,62.9447710447528,154.489976129587,81.260867934082,184.48216338867
"Utqiagvik","BNL134",20120717,"ERAN6",NA,1,6.73,9.54,0.544,21,71,1.96,69.5165126191718,157.829716368967,88.7463266759974,187.011011590601
"Utqiagvik","BNL142",20120718,"ERAN6",NA,1,8.12,8.74,0.514,22,88,2.59,77.7578858255721,204.36242499337,100.603197645876,244.40605692136
"Utqiagvik","BNL145",20120718,"ERAN6",NA,1,8,8.43,0.531,23,83,2.28,83.3908942797485,196.057428616024,108.453669418505,235.322242468081
"Utqiagvik","BNL146",20120719,"ERAN6",NA,1,7.86,7.81,0.473,23,97,2.84,87.7667413794217,237.082509562464,115.341899770656,286.633597692779
"Utqiagvik","BNL153",20120719,"ERAN6",NA,1,11.3,13.46,0.401,34,98,1.8,82.0773876710879,176.460615994306,98.2449412494003,199.936590174832
"Utqiagvik","BNL592",20120809,"ERAN6",NA,1,10.25,11.25,0.494,28,107,3.09,80.676121756315,216.813174623687,100.117244522785,251.895637501294
"Utqiagvik","BNL599",20120811,"ERAN6",NA,1,7.5,8.3,0.357,30,105,4.98,109.941373630216,249.802658890428,143.296399581815,300.286375298143
"Utqiagvik","BNL601",20120811,"ERAN6",NA,1,7.74,8.93,0.372,29,113,4.56,100.913098440237,259.703276589517,130.146720547029,309.904978437674
"Utqiagvik","BNL603",20120811,"ERAN6",NA,1,9.5,10.15,0.42,29,106,2.8,91.3438233376295,227.944984944137,115.434961895964,268.19393770857
"Utqiagvik","BNL605",20120811,"ERAN6",NA,1,9.41,10.06,0.421,26,96,4.16,82.4961589156698,207.451710100251,104.40962058615,244.335463069591
"Utqiagvik","BNL2820",20140716,"ERAN6",NA,1,14.19,15.84,0.776,19,NA,2.04,38.0241266244536,NA,43.8057308364195,NA
"Utqiagvik","BNL2821",20140716,"ERAN6",NA,1,13.74,15.62,0.569,28,NA,5.25,57.0079389538632,NA,65.9069742620291,NA
"Utqiagvik","BNL2822",20140716,"ERAN6",NA,1,13.76,15.77,0.824,36,NA,4.73,72.4409705209605,NA,83.5488952963085,NA
"Utqiagvik","BNL2809",20140717,"ERAN6",NA,1,8.4,9.78,0.501,24,NA,4.67,77.9068018205974,NA,99.0609998587282,NA
"Utqiagvik","BNL2810",20140717,"ERAN6",NA,1,8.73,9.04,0.531,18,NA,2.54,62.0733890493647,NA,79.9083368694329,NA
"Utqiagvik","BNL2814",20140717,"ERAN6",NA,1,8.67,11.02,0.516,18,NA,3.86,52.8354393981302,NA,65.8164983139063,NA
"Utqiagvik","BNL2815",20140717,"ERAN6",NA,1,8.42,9.67,0.424,28,NA,4.06,91.7103375609251,NA,116.826267459856,NA
"Utqiagvik","BNL2816",20140717,"ERAN6",NA,1,8.48,10.22,0.448,20,NA,3.66,62.638287332992,NA,79.0667453447684,NA
"Utqiagvik","BNL2817",20140717,"ERAN6",NA,1,8.27,9.48,0.486,26,NA,5.04,86.4909015467209,NA,110.526664262318,NA
"Utqiagvik","BNL2818",20140717,"ERAN6",NA,1,8.41,10.28,0.66,11,NA,3.41,34.2835093474577,NA,43.2321956958582,NA
"Utqiagvik","BNL2819",20140717,"ERAN6",NA,1,8.33,8.79,0.61,10,NA,1.6,35.1996799745223,NA,45.5032359579864,NA
"Utqiagvik","BNL2823",20140717,"ERAN6",NA,1,8.66,9.16,0.548,13,NA,1.78,44.3922483130537,NA,57.0325500909735,NA
"Utqiagvik","BNL2824",20140717,"ERAN6",NA,1,8.27,9.43,0.503,19,NA,3.69,63.4636474778221,NA,81.1677798566194,NA
"Utqiagvik","BNL2825",20140717,"ERAN6",NA,1,8.51,10.3,0.417,26,NA,6.51,80.9022068850774,NA,101.985503204971,NA
"Utqiagvik","BNL2826",20140717,"ERAN6",NA,1,8.23,9.27,0.488,17,NA,4.06,57.5310760812302,NA,73.7768985304177,NA
"Utqiagvik","BNL2842",20140723,"ERAN6",1,1,4.25,5.32,0.403,14,NA,1.89,65.7551895134983,NA,90.1549397167896,NA
"Utqiagvik","BNL2842",20140723,"ERAN6",1,2,11.7,9.97,0.675,21,NA,1.98,67.1213817281109,NA,85.0778882441291,NA
"Utqiagvik","BNL2842",20140723,"ERAN6",1,3,16.53,13.27,1.05,23,NA,1.24,56.367946078389,NA,67.6795076341121,NA
"Utqiagvik","BNL2843",20140723,"ERAN6",1,1,2.34,8.08,0.631,11,NA,1.56,41.0497109769001,NA,53.7021132076958,NA
"Utqiagvik","BNL2843",20140723,"ERAN6",1,2,5.76,10.3,0.805,16,NA,4.12,49.78597346774,NA,62.7603096645973,NA
"Utqiagvik","BNL2843",20140723,"ERAN6",1,3,14.89,14.84,0.873,21,NA,3.61,45.4547240231421,NA,53.2106229959745,NA
"Utqiagvik","BNL2844",20140723,"ERAN6",1,1,2.33,5.32,0.33,14,NA,2.57,65.7551895134983,NA,90.1549397167896,NA
"Utqiagvik","BNL2844",20140723,"ERAN6",1,2,10.79,9.8,0.619,21,NA,2.57,68.0574022843949,NA,86.5083925174925,NA
"Utqiagvik","BNL2844",20140723,"ERAN6",1,3,16.85,13.32,0.741,27,NA,2.15,65.9084412643664,NA,79.0703502130127,NA
"Utqiagvik","BNL2844",20140723,"ERAN6",1,4,15.81,12.7,0.757,21,NA,2.14,53.8586283980968,NA,65.268836202914,NA
"Utqiagvik","BNL2845",20140723,"ERAN6",1,1,1.9,5.13,0.352,20,NA,2.57,95.4511134054099,NA,131.298030654577,NA
"Utqiagvik","BNL2845",20140723,"ERAN6",1,2,9.86,9.95,0.645,31,NA,3.41,99.2454255306907,NA,125.837648809831,NA
"Utqiagvik","BNL2845",20140723,"ERAN6",1,3,17.47,14.8,0.729,41,NA,3.54,89.0247310731537,NA,104.281891030818,NA
"Utqiagvik","BNL2847",20140724,"ERAN6",1,1,2.39,5.36,0.344,13,NA,2.36,60.8532265341319,NA,83.3767347100934,NA
"Utqiagvik","BNL2847",20140724,"ERAN6",1,2,10.41,9.89,0.609,20,NA,3.12,64.3429594924073,NA,81.6646495454755,NA
"Utqiagvik","BNL2847",20140724,"ERAN6",1,3,18.67,14.61,0.721,26,NA,2.56,57.3058550313811,NA,67.3322460392147,NA
"Utqiagvik","BNL2847",20140724,"ERAN6",1,4,19.79,15.46,0.762,27,NA,2.39,55.6649935914618,NA,64.5190963690779,NA
"Utqiagvik","BNL2848",20140724,"ERAN6",1,1,2.71,4.95,0.452,15,NA,2.84,72.6832416707384,NA,100.289713836095,NA
"Utqiagvik","BNL2848",20140724,"ERAN6",1,2,10.41,9.91,0.617,26,NA,4,83.5096904982097,NA,105.956010917805,NA
"Utqiagvik","BNL2848",20140724,"ERAN6",1,3,18.52,14.89,1.069,29,NA,3.19,62.5243821002655,NA,73.1341468391955,NA
"Utqiagvik","BNL2848",20140724,"ERAN6",1,4,20.12,15.81,0.866,30,NA,2.02,60.1790176840559,NA,69.3624630635607,NA
"Utqiagvik","BNL2849",20140724,"ERAN6",1,1,3.69,5.17,0.463,16,NA,2.45,76.1039588305356,NA,104.613042749198,NA
"Utqiagvik","BNL2849",20140724,"ERAN6",1,2,10.22,9.85,0.755,23,NA,2.48,74.2359370308014,NA,94.283569326445,NA
"Utqiagvik","BNL2850",20140724,"ERAN6",1,1,1.76,6.28,0.485,15,NA,1.91,65.002041214135,NA,87.6703523604423,NA
"Utqiagvik","BNL2850",20140724,"ERAN6",1,2,7.77,10.01,0.707,19,NA,2.4,60.531449259941,NA,76.6740457269861,NA
"Utqiagvik","BNL2850",20140724,"ERAN6",1,3,16.6,14.66,0.783,33,NA,3.69,72.4483563562141,NA,85.0557262438707,NA
"Utqiagvik","BNL2875",20140728,"ERAN6",1,1,9.56,9.83,0.734,11,NA,1.53,35.5620554460975,NA,45.1807131159977,NA
"Utqiagvik","BNL2875",20140728,"ERAN6",1,2,17.11,14.96,0.919,20,NA,2.03,42.8835524039703,NA,50.1041628295104,NA
"Utqiagvik","BNL2875",20140728,"ERAN6",1,3,22.09,18.97,1.35,24,NA,0.86,37.708092817363,NA,41.3492462778703,NA
"Utqiagvik","BNL2875",20140728,"ERAN6",1,4,20.87,17.36,1.22,23,NA,1.26,40.8997149347079,NA,45.9963280611462,NA
"Utqiagvik","BNL1643",20150713,"ERAN6",NA,1,7.6,9.33,0.333,23,NA,3.73,77.4550702418873,NA,99.2276881536371,NA
"Utqiagvik","BNL1644",20150713,"ERAN6",NA,1,7.44,8.42,0.318,16,NA,2.39,58.0588259237903,NA,75.5208377577206,NA
"Utqiagvik","BNL1645",20150713,"ERAN6",NA,1,7.52,8.76,0.326,23,95,3.56,81.1589283836724,220.376848663088,104.968289459289,263.497072041192
"Utqiagvik","BNL1646",20150713,"ERAN6",NA,1,7.51,9.26,0.271,29,110,3.33,98.221581333321,248.288530114178,125.978756146067,295.150716494241
"Utqiagvik","BNL1647",20150713,"ERAN6",NA,1,7.19,8.61,0.347,20,84,4.42,71.4480936402994,196.468707137909,92.6412489572426,235.321577292072
"Utqiagvik","BNL1649",20150713,"ERAN6",NA,1,7.73,9.33,0.327,17,67,1.19,57.2493997440037,150.653475776315,73.3422042874709,178.94265765265
"Utqiagvik","BNL1650",20150713,"ERAN6",NA,1,7.76,10.05,0.312,19,72,2.64,60.3347266147854,155.673288705195,76.3741222890774,183.372272699732
"Utqiagvik","BNL1651",20150713,"ERAN6",NA,1,7.32,8.27,0.286,25,97,2.94,91.8445507210477,231.151050483912,119.769579000941,277.962738444186
"Utqiagvik","BNL1654",20150713,"ERAN6",NA,1,8.56,9.92,0.49,25,90,1.69,80.2324061687267,195.970751967797,101.780921243856,231.186357883472
"Utqiagvik","BNL1655",20150713,"ERAN6",NA,1,8.93,10.74,0.414,23,82,2.28,69.0585689165713,170.790225692279,86.4239136136858,199.588382599603
"Utqiagvik","BNL1656",20150713,"ERAN6",NA,1,8.34,9.61,0.296,26,107,3.18,85.5775888201384,236.950632077864,109.122947019216,280.533361444277
"Utqiagvik","BNL1657",20150713,"ERAN6",NA,1,8.28,10.09,0.365,20,NA,2.66,63.3038932592287,NA,80.0794276503039,NA
"Utqiagvik","BNL1658",20150714,"ERAN6",NA,1,8.52,10.32,0.326,23,87,2.72,71.4511776319973,185.37007238666,90.0416693334522,217.674841311479
"Utqiagvik","BNL1659",20150714,"ERAN6",NA,1,8.67,10.31,0.401,21,75,2.45,65.2910375578078,159.888421722099,82.2923905090981,187.774070936434
"Utqiagvik","BNL1660",20150714,"ERAN6",NA,1,8.43,9.82,0.266,24,98,3.31,77.6531994733186,214.553738311411,98.6728771012275,253.401100282431
"Utqiagvik","BNL1661",20150714,"ERAN6",NA,1,8.31,9.44,0.281,25,97,3.16,83.4365841544336,216.805240612095,106.694674815241,257.188173820482
"Utqiagvik","BNL1662",20150714,"ERAN6",NA,1,8.18,9.37,0.265,22,79,2.5,73.8455211944956,177.248863794081,94.5403849579151,210.434460867571
"Utqiagvik","BNL1761",20150720,"ERAN6",1,1,14.75,15.23,0.444,31,117,2.18,65.0747095858759,191.91276092432,75.7035503713215,213.18000877933
"Utqiagvik","BNL1761",20150720,"ERAN6",1,2,19.05,17.79,0.83,40,131,2.63,68.8071382460612,188.139285031684,76.8589873696105,203.173073611388
"Utqiagvik","BNL1761",20150720,"ERAN6",1,3,20.84,19.07,1.008,43,138,2.85,67.0458077670708,185.614353493386,73.4052779644448,197.674552542423
"Utqiagvik","BNL1762",20150720,"ERAN6",1,1,14.93,15.44,0.393,36,119,2.3,74.3363889630883,193.060042279741,86.1879239418102,213.954517502242
"Utqiagvik","BNL1762",20150720,"ERAN6",1,2,18.91,17.63,0.701,34,121,2.81,59.212394880689,175.214747243516,66.308219470812,189.547034049388
"Utqiagvik","BNL1762",20150720,"ERAN6",1,3,21.28,18.72,0.914,37,124,2.21,59.2564169757447,169.79139493176,65.2324776001513,181.511111172605
"Utqiagvik","BNL1763",20150720,"ERAN6",1,1,14.96,15.41,0.581,26,96,2.54,53.8137585059885,155.990459381332,62.4232808056841,172.930582590766
"Utqiagvik","BNL1763",20150720,"ERAN6",1,2,19.88,18.68,0.858,42,121,2.96,67.4705001312678,166.022740281633,74.3214130299346,177.55943297761
"Utqiagvik","BNL1764",20150720,"ERAN6",1,1,14.78,15.29,0.487,30,105,2.06,62.6797747238738,171.689206779018,72.847448948756,190.588142663221
"Utqiagvik","BNL1764",20150720,"ERAN6",1,2,19.09,17.95,0.744,38,148,2.79,64.5658373348986,210.812689388487,71.9401892185869,227.260820283558
"Utqiagvik","BNL1764",20150720,"ERAN6",1,3,21.65,19.49,0.941,44,128,3.05,66.4409725956338,168.520648746579,72.2689495370674,178.656793941614
"Utqiagvik","BNL1787",20150722,"ERAN6",1,1,17.02,14.85,0.549,33,NA,2.68,71.3726725137267,NA,83.5375169472146,NA
"Utqiagvik","BNL1787",20150722,"ERAN6",1,2,10.45,10.97,0.487,26,NA,2.55,76.6269142984765,NA,95.532000466614,NA
"Utqiagvik","BNL1788",20150722,"ERAN6",1,1,16.2,14.85,0.691,22,NA,2.53,47.5817816758178,NA,55.6916779648098,NA
"Utqiagvik","BNL1788",20150722,"ERAN6",1,2,10.87,11.04,0.407,22,NA,2.93,64.4723653518322,NA,80.2860060286934,NA
"Utqiagvik","BNL1788",20150722,"ERAN6",1,3,3.96,5.91,0.32,16,NA,2.64,71.5160971871259,NA,97.0673584416798,NA
"Utqiagvik","BNL1789",20150722,"ERAN6",1,1,17.22,14.93,0.761,26,116,3.18,55.8802743346094,193.288487732251,65.3206632140758,215.426494623146
"Utqiagvik","BNL1789",20150722,"ERAN6",1,2,10.27,10.97,0.377,19,82,1.74,55.9965912181174,168.682379386274,69.8118464948333,196.605914542594
"Utqiagvik","BNL64",20120712,"PEFR5",NA,1,18.56,21.26,0.9,76,241,3.09,100.362383163299,290.137297046452,106.220320125317,301.799073942671
